Name,Mountaintop,Stream,Site
BP_MK3_1,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_10,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_2,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_3,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_5,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_6,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_7,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_8,MtMckay,PrettyValleyCk,MtMckay3
BP_MK3_9,MtMckay,PrettyValleyCk,MtMckay3
BP_R6_2,MtMckay,RockyValleyCk,Rocky6
BP_R6_3,MtMckay,RockyValleyCk,Rocky6
BP_R6_4,MtMckay,RockyValleyCk,Rocky6
BP_R6_7,MtMckay,RockyValleyCk,Rocky6
BP_R6_8,MtMckay,RockyValleyCk,Rocky6
BP_R6_9,MtMckay,RockyValleyCk,Rocky6
F_M4_4,MtCope,MiddleCK,MiddleCK4
F_MK_5,MtMckay,PrettyValleyCk,MtMckay3
F_MK3_6,MtMckay,PrettyValleyCk,MtMckay3
F_MK3_7,MtMckay,PrettyValleyCk,MtMckay3
J1_E02_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E03_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E04_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E05_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E06_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E07_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E08_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E09_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E10_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E11_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_E12_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F01_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F02_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F03_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F04_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F05_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F07_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F08_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F09_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
J1_F10_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_F11_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_F12_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G01_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G02_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G03_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G04_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G05_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G06_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G07_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G09_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G11_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_G12_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_H01_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_H02_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_H03_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
J1_H04_LCO1490.ab1,MtCope,MiddleCK,MiddleCK4
JH12_LCO1490.ab1,MtMckay,PrettyValleyCk,MtMckay3
JH13_LCO1490.ab1,MtMckay,PrettyValleyCk,MtMckay3
JH14_LCO1490.ab1,MtMckay,PrettyValleyCk,MtMckay3
JH15_LCO1490.ab1,MtMckay,PrettyValleyCk,MtMckay3
JH16_LCO1490.ab1,MtMckay,PrettyValleyCk,MtMckay3
JH34_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
JH35_LCO1490.ab1,MtCope,RockyValleyCk,RockySprings
JH41_LCO1490.ab1,RockyKnobs,MiddleCK,MiddleCK4
JH42_LCO1490.ab1,RockyKnobs,MiddleCK,MiddleCK4
JH43_LCO1490.ab1,RockyKnobs,MiddleCK,MiddleCK4
JH44_LCO1490.ab1,RockyKnobs,MiddleCK,MiddleCK4
JH52_LCO1490.ab1,RockyKnobs,RockyValleyCk,RockySprings
JH53_LCO1490.ab1,RockyKnobs,RockyValleyCk,RockySprings
