Name,Mountaintop,Stream,Site
D_C1_253,MtCope,CopeCreek,Cope1
D_M2_373,MtCope,MiddleCk,Middle1
D_TW3_2,Fainter,PrettyValleyCk,TawongaCK2
D_TW3_3,Fainter,PrettyValleyCk,TawongaCK2
J1_A03_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A05_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A07_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A08_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A09_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A10_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_A11_LCO1490.ab1,RockyKnobs,PrettyValleyCk,CopeCk3
J1_B02_LCO1490.ab1,PrettyValleyPeak,PrettyValleyCk,CopeCk5
J1_B11_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_B12_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_C02_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_C03_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_C07_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_C10_LCO1490.ab1,MtCope,CopeCreek,Cope1
J1_C12_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D02_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D03_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D04_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D06_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D07_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_D08_LCO1490.ab1,MtCope,CopeCreek,Cope2
J1_H07_LCO1490.ab1,MtCope,MiddleCk,Middle3
J1_H08_LCO1490.ab1,MtCope,MiddleCk,Middle3
J1_H09_LCO1490.ab1,MtCope,MiddleCk,Middle3
J1_H10_LCO1490.ab1,MtCope,MiddleCk,Middle3
J1_H11_LCO1490.ab1,MtCope,MiddleCk,Middle3
J1_H12_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A02_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A03_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A04_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A05_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A06_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A07_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A08_LCO1490.ab1,MtCope,MiddleCk,Middle3
J97_A10_LCO1490.ab1,MtCope,MiddleCk,MIddle2
J97_B01_LCO1490.ab1,MtCope,MiddleCk,MIddle2
J97_B06_LCO1490.ab1,MtCope,MiddleCk,MIddle2
J97_B09_LCO1490.ab1,MtCope,MiddleCk,MIddle2
J97_B11_LCO1490.ab1,MtCope,MiddleCk,Middle1
J97_B12_LCO1490.ab1,MtCope,MiddleCk,Middle1
J97_C03_LCO1490.ab1,MtCope,MiddleCk,Middle1
J97_C04_LCO1490.ab1,MtCope,MiddleCk,Middle1
J97_C06_LCO1490.ab1,MtCope,MiddleCk,Middle1
